sales_id,order_id,full_date,year,quarter,month,month_name,region_name,country,sales_manager,channel_name,category,subcategory,product_name,customer_name,units_sold,revenue,cost,profit,discount_pct
57,SO-20230109-003,2023-01-09,2023,1,1,January,Europe,Spain,Liam Carter,Online,Software,BI,Power BI Premium,Pioneer Manufacturing,7,20160.0,13650.0,6510.0,0.1
58,SO-20230109-004,2023-01-09,2023,1,1,January,North America,USA,Ava Brooks,Direct,Services,Consulting,Analytics Advisory,Bright Core Labs,6,30801.6,15600.0,15201.6,0.07
59,SO-20230109-005,2023-01-09,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Data,Warehouse,SQL Warehouse Starter,Atlas Telecom,3,7254.0,4650.0,2604.0,0.07
60,SO-20230109-006,2023-01-09,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,Intelligent Document Processing,Bright Core Labs,6,33756.0,21300.0,12456.0,0.03
61,SO-20230109-007,2023-01-09,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Software,BI,Power BI Premium,Vertex Finance,2,6400.0,3900.0,2500.0,0.0
62,SO-20230110-001,2023-01-10,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Automation,RPA,Intelligent Document Processing,Summit Foods,2,11600.0,7100.0,4500.0,0.0
63,SO-20230110-002,2023-01-10,2023,1,1,January,North America,USA,Ava Brooks,Direct,Data,Warehouse,SQL Warehouse Enterprise,Axis Health,8,47120.0,28800.0,18320.0,0.05
64,SO-20230110-003,2023-01-10,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,Intelligent Document Processing,Nova Retail,5,26100.0,17750.0,8350.0,0.1
65,SO-20230110-004,2023-01-10,2023,1,1,January,Europe,Spain,Liam Carter,Online,Data,Warehouse,SQL Warehouse Enterprise,Urban Mobility Co,2,11780.0,7200.0,4580.0,0.05
66,SO-20230110-005,2023-01-10,2023,1,1,January,North America,USA,Ava Brooks,Partner,Services,Consulting,Analytics Advisory,Pioneer Manufacturing,8,42835.2,20800.0,22035.2,0.03
67,SO-20230110-006,2023-01-10,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Automation,RPA,Intelligent Document Processing,Bright Core Labs,5,29000.0,17750.0,11250.0,0.0
68,SO-20230110-007,2023-01-10,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Services,Consulting,Forecast Optimization,Vertex Finance,4,23598.0,12000.0,11598.0,0.05
69,SO-20230110-008,2023-01-10,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Services,Consulting,Analytics Advisory,Vertex Finance,5,26220.0,13000.0,13220.0,0.05
70,SO-20230110-009,2023-01-10,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Platform,Cloud,Data Platform Subscription,Axis Health,7,55545.0,30100.0,25445.0,0.0
71,SO-20230110-010,2023-01-10,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Platform,Cloud,ML Forecast Add-on,Summit Foods,8,31464.0,17600.0,13864.0,0.05
72,SO-20230110-011,2023-01-10,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Data,Warehouse,SQL Warehouse Starter,Summit Foods,7,17654.0,10850.0,6804.0,0.03
73,SO-20230110-012,2023-01-10,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Software,BI,Power BI Premium,Axis Health,3,9600.0,5850.0,3750.0,0.0
74,SO-20230110-013,2023-01-10,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Services,Consulting,Forecast Optimization,Blue Peak Energy,6,34651.8,18000.0,16651.8,0.07
75,SO-20230110-014,2023-01-10,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,Intelligent Document Processing,Summit Foods,3,16530.0,10650.0,5880.0,0.05
76,SO-20230111-001,2023-01-11,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Services,Consulting,Forecast Optimization,Urban Mobility Co,6,36142.2,18000.0,18142.2,0.03
77,SO-20230111-002,2023-01-11,2023,1,1,January,North America,USA,Ava Brooks,Online,Services,Consulting,Forecast Optimization,Blue Peak Energy,1,5589.0,3000.0,2589.0,0.1
78,SO-20230111-003,2023-01-11,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Platform,Cloud,Data Platform Subscription,Pioneer Manufacturing,4,29518.2,17200.0,12318.2,0.07
79,SO-20230111-004,2023-01-11,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Platform,Cloud,ML Forecast Add-on,Axis Health,1,3726.0,2200.0,1526.0,0.1
80,SO-20230111-005,2023-01-11,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Platform,Cloud,ML Forecast Add-on,Nova Retail,5,19251.0,11000.0,8251.0,0.07
81,SO-20230111-006,2023-01-11,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Services,Consulting,Forecast Optimization,Axis Health,4,23101.2,12000.0,11101.2,0.07
82,SO-20230111-007,2023-01-11,2023,1,1,January,North America,USA,Ava Brooks,Direct,Data,Warehouse,SQL Warehouse Starter,Bright Core Labs,3,7800.0,4650.0,3150.0,0.0
83,SO-20230111-008,2023-01-11,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Automation,RPA,Intelligent Document Processing,Bright Core Labs,7,37758.0,24850.0,12908.0,0.07
84,SO-20230111-009,2023-01-11,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Data,Warehouse,SQL Warehouse Starter,Nova Retail,2,4836.0,3100.0,1736.0,0.07
85,SO-20230112-001,2023-01-12,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Data,Warehouse,SQL Warehouse Starter,Axis Health,4,9672.0,6200.0,3472.0,0.07
86,SO-20230112-002,2023-01-12,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Services,Consulting,Analytics Advisory,Summit Foods,1,4968.0,2600.0,2368.0,0.1
87,SO-20230112-003,2023-01-12,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Platform,Cloud,Data Platform Subscription,Bright Core Labs,1,7935.0,4300.0,3635.0,0.0
88,SO-20230112-004,2023-01-12,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Data,Warehouse,SQL Warehouse Enterprise,Axis Health,4,24800.0,14400.0,10400.0,0.0
89,SO-20230112-005,2023-01-12,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Software,BI,Power BI Premium,Vertex Finance,5,14880.0,9750.0,5130.0,0.07
90,SO-20230112-006,2023-01-12,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Platform,Cloud,Data Platform Subscription,Axis Health,4,28566.0,17200.0,11366.0,0.1
91,SO-20230112-007,2023-01-12,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Platform,Cloud,Data Platform Subscription,Bright Core Labs,5,37691.25,21500.0,16191.25,0.05
92,SO-20230112-008,2023-01-12,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Services,Consulting,Analytics Advisory,Atlas Telecom,4,21417.6,10400.0,11017.6,0.03
93,SO-20230113-001,2023-01-13,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Software,BI,Power BI Pro,Zenith Logistics,7,7980.0,5040.0,2940.0,0.05
94,SO-20230113-002,2023-01-13,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Software,BI,Power BI Premium,Vertex Finance,3,9120.0,5850.0,3270.0,0.05
95,SO-20230113-003,2023-01-13,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Data,Warehouse,SQL Warehouse Enterprise,Atlas Telecom,3,17298.0,10800.0,6498.0,0.07
96,SO-20230113-004,2023-01-13,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Data,Warehouse,SQL Warehouse Enterprise,Blue Peak Energy,5,28830.0,18000.0,10830.0,0.07
97,SO-20230113-005,2023-01-13,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Services,Consulting,Analytics Advisory,Bright Core Labs,5,26772.0,13000.0,13772.0,0.03
98,SO-20230113-006,2023-01-13,2023,1,1,January,North America,USA,Ava Brooks,Partner,Software,BI,Power BI Pro,Urban Mobility Co,5,5400.0,3600.0,1800.0,0.1
99,SO-20230113-007,2023-01-13,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Software,BI,Power BI Premium,Summit Foods,3,9312.0,5850.0,3462.0,0.03
100,SO-20230114-001,2023-01-14,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,RPA Bot License,Nova Retail,7,27839.0,17500.0,10339.0,0.03
101,SO-20230114-002,2023-01-14,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Data,Warehouse,SQL Warehouse Enterprise,Blue Peak Energy,6,34596.0,21600.0,12996.0,0.07
102,SO-20230114-003,2023-01-14,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Platform,Cloud,ML Forecast Add-on,Urban Mobility Co,6,24094.8,13200.0,10894.8,0.03
103,SO-20230115-001,2023-01-15,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Platform,Cloud,ML Forecast Add-on,Blue Peak Energy,7,27531.0,15400.0,12131.0,0.05
104,SO-20230115-002,2023-01-15,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Software,BI,Power BI Premium,Atlas Telecom,7,22400.0,13650.0,8750.0,0.0
105,SO-20230115-003,2023-01-15,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Software,BI,Power BI Premium,Pioneer Manufacturing,8,24320.0,15600.0,8720.0,0.05
106,SO-20230115-004,2023-01-15,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Services,Consulting,Forecast Optimization,Axis Health,6,36142.2,18000.0,18142.2,0.03
107,SO-20230115-005,2023-01-15,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Automation,RPA,Intelligent Document Processing,Summit Foods,7,39382.0,24850.0,14532.0,0.03
108,SO-20230115-006,2023-01-15,2023,1,1,January,North America,USA,Ava Brooks,Direct,Data,Warehouse,SQL Warehouse Enterprise,Axis Health,3,16740.0,10800.0,5940.0,0.1
109,SO-20230115-007,2023-01-15,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Data,Warehouse,SQL Warehouse Enterprise,Zenith Logistics,2,11780.0,7200.0,4580.0,0.05
110,SO-20230116-001,2023-01-16,2023,1,1,January,Europe,Spain,Liam Carter,Online,Services,Consulting,Analytics Advisory,Atlas Telecom,6,32126.4,15600.0,16526.4,0.03
111,SO-20230116-002,2023-01-16,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Data,Warehouse,SQL Warehouse Starter,Summit Foods,5,12090.0,7750.0,4340.0,0.07
112,SO-20230116-003,2023-01-16,2023,1,1,January,North America,USA,Ava Brooks,Direct,Platform,Cloud,Data Platform Subscription,Atlas Telecom,3,22138.65,12900.0,9238.65,0.07
113,SO-20230116-004,2023-01-16,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Automation,RPA,Intelligent Document Processing,Atlas Telecom,7,40600.0,24850.0,15750.0,0.0
114,SO-20230116-005,2023-01-16,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Services,Consulting,Forecast Optimization,Bright Core Labs,6,37260.0,18000.0,19260.0,0.0
115,SO-20230116-006,2023-01-16,2023,1,1,January,North America,USA,Ava Brooks,Direct,Software,BI,Power BI Pro,Nova Retail,3,3240.0,2160.0,1080.0,0.1
116,SO-20230116-007,2023-01-16,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,Intelligent Document Processing,Atlas Telecom,2,11600.0,7100.0,4500.0,0.0
117,SO-20230116-008,2023-01-16,2023,1,1,January,Europe,Spain,Liam Carter,Partner,Services,Consulting,Analytics Advisory,Bright Core Labs,5,24840.0,13000.0,11840.0,0.1
118,SO-20230117-001,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Partner,Platform,Cloud,ML Forecast Add-on,Nova Retail,3,11550.6,6600.0,4950.6,0.07
119,SO-20230117-002,2023-01-17,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Data,Warehouse,SQL Warehouse Enterprise,Vertex Finance,7,39060.0,25200.0,13860.0,0.1
120,SO-20230117-003,2023-01-17,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Platform,Cloud,ML Forecast Add-on,Nova Retail,6,23598.0,13200.0,10398.0,0.05
121,SO-20230117-004,2023-01-17,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Software,BI,Power BI Premium,Urban Mobility Co,4,12800.0,7800.0,5000.0,0.0
122,SO-20230117-005,2023-01-17,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Services,Consulting,Analytics Advisory,Axis Health,3,15732.0,7800.0,7932.0,0.05
123,SO-20230117-006,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Online,Platform,Cloud,ML Forecast Add-on,Urban Mobility Co,1,3850.2,2200.0,1650.2,0.07
124,SO-20230117-007,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Online,Data,Warehouse,SQL Warehouse Starter,Zenith Logistics,8,19760.0,12400.0,7360.0,0.05
125,SO-20230117-008,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Direct,Data,Warehouse,SQL Warehouse Enterprise,Atlas Telecom,8,47120.0,28800.0,18320.0,0.05
126,SO-20230117-009,2023-01-17,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Platform,Cloud,Data Platform Subscription,Urban Mobility Co,6,45229.5,25800.0,19429.5,0.05
127,SO-20230117-010,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Direct,Platform,Cloud,Data Platform Subscription,Blue Peak Energy,5,36897.75,21500.0,15397.75,0.07
128,SO-20230117-011,2023-01-17,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Online,Services,Consulting,Forecast Optimization,Blue Peak Energy,4,24094.8,12000.0,12094.8,0.03
129,SO-20230117-012,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Partner,Data,Warehouse,SQL Warehouse Enterprise,Nova Retail,6,36084.0,21600.0,14484.0,0.03
130,SO-20230117-013,2023-01-17,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Services,Consulting,Analytics Advisory,Pioneer Manufacturing,5,26772.0,13000.0,13772.0,0.03
131,SO-20230117-014,2023-01-17,2023,1,1,January,Middle East,UAE,Noah Hassan,Partner,Data,Warehouse,SQL Warehouse Starter,Atlas Telecom,1,2340.0,1550.0,790.0,0.1
132,SO-20230117-015,2023-01-17,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Data,Warehouse,SQL Warehouse Enterprise,Blue Peak Energy,1,5580.0,3600.0,1980.0,0.1
133,SO-20230117-016,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,RPA Bot License,Blue Peak Energy,1,4100.0,2500.0,1600.0,0.0
134,SO-20230117-017,2023-01-17,2023,1,1,January,North America,USA,Ava Brooks,Direct,Automation,RPA,Intelligent Document Processing,Vertex Finance,3,16530.0,10650.0,5880.0,0.05
135,SO-20230118-001,2023-01-18,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Services,Consulting,Forecast Optimization,Blue Peak Energy,3,18630.0,9000.0,9630.0,0.0
136,SO-20230118-002,2023-01-18,2023,1,1,January,Middle East,UAE,Noah Hassan,Online,Platform,Cloud,ML Forecast Add-on,Atlas Telecom,1,3850.2,2200.0,1650.2,0.07
137,SO-20230118-003,2023-01-18,2023,1,1,January,North America,USA,Ava Brooks,Partner,Services,Consulting,Forecast Optimization,Vertex Finance,7,39123.0,21000.0,18123.0,0.1
138,SO-20230118-004,2023-01-18,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Data,Warehouse,SQL Warehouse Starter,Pioneer Manufacturing,6,14508.0,9300.0,5208.0,0.07
139,SO-20230118-005,2023-01-18,2023,1,1,January,North America,USA,Ava Brooks,Online,Services,Consulting,Forecast Optimization,Axis Health,3,17698.5,9000.0,8698.5,0.05
140,SO-20230118-006,2023-01-18,2023,1,1,January,Europe,Spain,Liam Carter,Online,Software,BI,Power BI Pro,Vertex Finance,8,9600.0,5760.0,3840.0,0.0
141,SO-20230118-007,2023-01-18,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Automation,RPA,Intelligent Document Processing,Nova Retail,3,17400.0,10650.0,6750.0,0.0
142,SO-20230118-008,2023-01-18,2023,1,1,January,Europe,Spain,Liam Carter,Direct,Platform,Cloud,Data Platform Subscription,Atlas Telecom,3,23090.85,12900.0,10190.85,0.03
143,SO-20230118-009,2023-01-18,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Partner,Data,Warehouse,SQL Warehouse Enterprise,Blue Peak Energy,6,37200.0,21600.0,15600.0,0.0
144,SO-20230118-010,2023-01-18,2023,1,1,January,Middle East,UAE,Noah Hassan,Direct,Automation,RPA,Intelligent Document Processing,Blue Peak Energy,8,45008.0,28400.0,16608.0,0.03
145,SO-20230118-011,2023-01-18,2023,1,1,January,LATAM,Mexico,Mia Sanchez,Direct,Automation,RPA,Intelligent Document Processing,Axis Health,3,16182.0,10650.0,5532.0,0.07
